text,sentiment,label
@LloydsBank How do you suggest I give you the info if you don't have an email address then? If you can't resolve a simple matter like that then looks like it will be a press release at 9am to expose how you treat elderly people.,negative,service - general
@LloydsBank I have no onfidence or trust in you to send details by DM. It would also be a very long DM. Your press office have my email so I suggest you call them to discuss. Otherwise it will be media release at 9am on multiple failures. @LBGplc @LloydsBankBiz @LloydsBankNews,negative,service - general
"@LloydsBank Have you sorted out an email address yet for use by ""Customer Service""? If @LloydsBank can't afford an email address Google offer them for free! #FAIL @LBGplc @LloydsBankNews",negative,service - general
@ActNowSheff @BarclaysUK @thejuicemedia @XRShef @money_rebellion @time2act4world @nicknuttgens @IanDavidMcHugh @LutheBlue @Left_luggage @GreenNewDealUK1 @ShefClimateNews @GrahamWroe @ShefGreenParent @1point5degrees1 Its only got one ball.,negative,activism
@RevolutApp I'm really disappointed that Revolut is forcing me to update my card when is not expiring yet. How come only some ppl are receiving the notification and some others not? My card is registered in so many vendors. I want you to remove me from this upgrade,negative,service - general
@gym_trition @RevolutApp Paper gold is useless. You want to have physical gold but it's expensive,negative,crpyto
"@RevolutApp is there an issue with your app for business banking? I'm trying to register and on ""Where Do You Conduct Business?"". I'm clicking 'UK' then 'Continue' but it won't continue!",negative,service - digital
"@NatWest_Help @PayPal Thank you @NatWest_Help , your reply and DM was really helpful",positive,service - general
"@HalifaxBank I can never use my online banking because it's always blocked and I have to call a number and be on hold for at least 3 hours before I give up. second time in 2 years my login has been blocked. the last time, I had to take an hour off work to visit a branch.",neutral,service - digital
#YouCouldn'tMakeItUp @LloydsBank have a special phone number for over 70's - which they don't tell over 70's about. Not really any surprise they prefer to cause alarm and distress to a 91 year old housebound widow. #FAIL @LBGplc @LloydsBankNews @BBCr4today @JustinDealey,negative,service - general
@monzo Monzo is always improving ðŸ˜ƒ,positive,service - general
@tonybrett If @LloydsBank give up now. Most other banks try callimg yhem even now.,negative,service - general
@nderssonD @JamesDelingpole @LloydsBank I heard it took someone 2 whole years to turn his crypto profit into cash.,negative,crpyto
@JamesDelingpole @LloydsBank Wait until you try to sell and see how they react to a remittance from a crypto exchange,negative,crpyto
"@RevolutApp I need to get in contact with you as I lost my phone with my phone number connected to my Revolut and can't log in anymore, its urgent, please help!!",negative,service - general
@crypto_news24 @RevolutApp Hi. I am an admin of a promoter with 280k followers from twitter maybe you want to promote your projects or page with us.Just send me dm for details.. thank you,neutral,inquiry
"hey @RevolutApp, are our funds safe where you hold them, in Lithuania? the war has started apparently",neutral,inquiry
@RevolutApp Done!,neutral,general
"@santanderukhelp Hi, me again. I really need someone to call me today to sort this out. THIS IS URGENT!!!!!",negative,service - general
"Tried to set up a new joint account on @monzo - I had a strange message: â€œwe canâ€™t offer you a joint account right nowâ€¦ and we canâ€™t tell you any more about whyâ€. 

I donâ€™t know if the problem is me or them. https://t.co/peNYKeMylP",negative,service - general
"@NatWest_Help Thank you, all done! â˜ºï¸",neutral,general
"Recent advert.
Are all those phones with people? I wonder... if any of those addicts will eventually have anything like healthy and productive interactions with other human beings? Or will their lives simply be one long dysfunctional interface Deus Ex-Machina @LloydsBank? https://t.co/nUoVJJP2A2",negative,general
@RevolutApp I found a Revolut card last night. Do I destroy it or send it back your way? No instructions on the card itself. Thanks.,negative,service - general
@monzo This is very true ðŸ¤£,neutral,general
"@monzo I invest in one of the best and fastest growing trading and mining company for Tron (TRX) and other altcoins like Xrp, solana, ADA, shiba and lots more, it's really amazing ... they're professional broker firm. JOIN NOW
Check out. https://t.co/B1MRUGupIG
https://t.co/B1MRUGupIG",neutral,inquiry
@MikeGalloway @LloydsBank This is &lt;Â£200 !,negative,general
"@jackdolbs @NatWest_Help $SHINU-SHINJA FLOKI INU

$SHINU is having its stealth launch on the 1st of March on Uniswap between 2PM and 4PM UTC! ðŸŽ°

Join Our Communities:
ðŸ¾Telegram:https://t.co/e2FaLc7Ysb
ðŸ¾Website: https://t.co/Qi8rHMgsWA
ðŸ¾Twitter: https://t.co/DLYd0rliMe",neutral,crpyto
@santanderukhelp Thank you,neutral,general
@LloydsBank I am unable to obtain an email address online to submit documents for a deceased client of yours. Could you kindly assist?,negative,service - general
@santanderukhelp Wonderful isn't it.,neutral,general
Lloyds Bankâ€™s profits in the lift as lenderâ€™s mortgage book surges to Â£293bn https://t.co/xyQ7Jm5gC8 #loyds @LloydsBank #Mortgage #Lending,positive,investors
@monzo They refused to allow me open account with them. No reason given,negative,general
@HalifaxBank Iâ€™m at work.  :/   In a shop.,negative,service - general
@RevolutApp pls make it easy to donate to Ukraine through your App ðŸ™ðŸ½ thx,neutral,inquiry
"@CamSci84 @HSBC_UK @Cambslive ...brought this place in line with many other heritage sites, charging a single person admission price that gives you access to the full property. As a charity, admission fees help fund important conservation work. (2/2)",positive,general
"@santanderukhelp Hello, I want to register for online banking in order to check my mortgage balance. I can't apply online as there is no sort code with a mortgage account. I have been on hold a total of 40 minutes in the last 2 days trying to get through to speak to someone. Can you help?",negative,service - digital
@santanderukhelp any idea why your apps suddenly telling me my phones not secure? I haven't downloaded anything or changed any setting?,negative,service - digital
@RevolutApp Next payday i will not have to wait for your due to the camera in the office at your desk and then the first MC1 of my head,negative,general
"@BarclaysUK I have been a customer for 20+ years. I have overdrafts with other banks but not with you, I can get a loan elsewhere but not with you. You are one of the least ethical bank there is out there.",negative,service - general
@RevolutApp What happened to #Songbird ?,neutral,inquiry
@HalifaxBank It just says the message function has an error try again later,negative,service - digital
@RevolutApp Next payday I will need you and tomorrow afternoon or Friday morning.,neutral,general
@RevolutApp Next payday I will putin savings,neutral,general
@santanderukhelp is this a Santander number +44 808 280 0801 ?,neutral,inquiry
@RevolutApp Next payday I will be have pay,neutral,general
@Pete4pool @RevolutApp Wan try again in English?!?,negative,inquiry
@RevolutApp Next payday I will Flow,neutral,general
"@RevolutApp dear @RevolutApp I followed you as requested, notified you but you haven't contacted me yet via twitter. And I just got yet another mail with request to update my profile...",negative,inquiry
@RevolutApp The Black Metal card is actually black now. Great job! https://t.co/PcKiiBt4zB,positive,service - general
"@RevolutApp Next Payday i will buy #Shib ðŸ’¯ 

#SHIBARMYSTRONG https://t.co/PwC0X4xvpP",positive,crpyto
@RevolutApp Next payday I will have to pay for my credit card and then go to the store ðŸ¬,neutral,general
@MudiGene @monzo They don't have to justify themselves to you,negative,general
@RevolutApp Stii be waiting for Revolut to finalize the promised #SGB airdrop â€¦ shame on you guys,negative,crpyto
"@RevolutApp 
No Customer support for Users stuck in between new registration which is very frustrating.  
I reg my number with India by mistake and want to signup account with same no. for Hungary. Now I am unable to signup and while I login to app it will ask me to stay in queue",negative,service - general
@strong_teacher @monzo Unfortunately it was,neutral,general
"@HalifaxBank Itâ€™s ok - I just kept re-trying.  Sorted now, thank you",negative,service - digital
@federicokappe @davidbrear @Get_Chip @RevolutApp Would make a good merger!,positive,investors
"â€¢ @monzo messaged me about their new product (I guess some BNPL)
â€¢ clicked on the push notification thinking it's some charge
â€¢ ""You are not eligible for Monzo Flex""

Thanks, app, now I am obsessed with why this is ...",positive,service - general
"@HSBC_UK Hi There,

I have bank account with HSBC UK which has opened during my stay in London . i would like to close it . Can you please guide me to how do it. I am not UK now came back to India . 

Thanks
Sagar .",neutral,inquiry
"@HSBC_UK

I have had a new phone with Android 11.  I can install the Mobile banking app but when I try to open it  it just keeps rebooting my phone.  I have uninstalled and reinstalled several times but it is still not working. Please can you help?",negative,service - digital
@RevolutApp Next payday I will get paid by Revolut,neutral,general
@LloydsBank Iâ€™m using the App. It says there are no payees set up on all 3 of my accounts,negative,service - digital
"There's a reason why @RevolutApp is winning the digital nomad market. They improve their tech and adjust to our way of life. Replacing my cards took me 5 minutes, and they'll deliver it for free to any location.

ðŸ¦ Would a traditional bank from your home country do the same? https://t.co/WdVPgeA719",positive,service - digital
@NatWest_Help My app shows as 99+ notifications. Is there a way to mark all as read that I'm missing...? Kind of loses the impact.,negative,service - digital
"@santanderukhelp I'm thinking of relocating abroad, would I still be able to bank with you or would I need to change banks?",neutral,inquiry
"@monzo 2/2 and then it would often require you to confirm a transaction in the app, which updates way too often and requires a login via email link every time - so youâ€™re watching animations of envelopes whilst the queue behind you tuts and looks at their watches. Not quick/streamlined",negative,service - digital
"@NatWest_Help Cheers, works well",positive,service - general
@avochie @drivingmemadi @HSBC_UK Time to change banks. Considering switching myself from the climate trashing HSBC to someone more environmentally conscious,negative,activism
"@HalifaxBank Fake tweets! 

Anyone dealing with you is in for big loses!",negative,service - general
@RevolutApp Next payday I will send that songbird I owe you bro,neutral,general
@monzo how do I order a replacement card in coral pink instead of investor blue? Happy to be an investor - but I want my pink card! ðŸ’—,positive,service - general
"SAVE THE DATE ðŸ“† 

On Wednesday 9 March 2022, @EnglandFootball and @BarclaysUK are putting on the Biggest Ever Football Session for girls in school - #LetGirlsPlay!

Schools can get involved and download free resources here ðŸ‘‡

https://t.co/KNt6IJvbm1 https://t.co/5owDK24LKY",positive,investors
"@HalifaxBank 
How long does a mobile cheque deposit take to clear?",neutral,inquiry
"@santanderukhelp Hi, I have tried to access my mobile banking app this morning but I'm presented with a screen saying we've stopped the app for your safety. It also mentions my phone may be rooted. I have been using the app for months with no issues until today. Please help!",neutral,service - digital
@monzo Iâ€™m paid by BACS but my money only appears in my account Friday morning and I donâ€™t get it early. Is there a cut off time when the payment has to be processed/instruction sent to the bank to get it early?,neutral,inquiry
@HalifaxBank It shows 5pm next working day which is tomorrow.,neutral,inquiry
@HalifaxBank Yes it seems to be on certain occasions the contactless just doesnâ€™t work but if I use my chip &amp; pin itâ€™ll work. Itâ€™s not either because Iâ€™ve used contactless in a short space of time. Just tried one shop and it wouldnâ€™t work then the next it was fine,negative,service - general
"@RevolutApp 
I sold AMC shares last week but the funds still hasn't been transferred to my wallet yet. What gives?",negative,service - general
@NatWest_Help is there an issue with your biometrics system? Iâ€™ve been locked out of my app for 5 times today,negative,service - digital
@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance @iearnfinance @WalletConnect ðŸ”¹ The community has requested features enabling higher short-term rewards if they do not want to vest (e.g. option to get 30% of rewards and give up 70% to other token holders),neutral,general
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance @iearnfinance ðŸ”¹ Yearn uses a greedy allocator algorithm that optimizes for yield. It doesnâ€™t try to compartmentalize the different strategies
ðŸ”¹ The Gro Protocol Vault are multi-asset with risk tranching and risk balancing",neutral,crpyto
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance Are they a fork of @iearnfinance V2?

ðŸ”¹ Some parts of their code are derived from Yearn
ðŸ”¹ The way that capital is allocated between different strategies is different from Yearn",neutral,crpyto
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz How did they decide to go with @avalancheavax

ðŸ”¹ Their community has been clamouring for Avalanche
ðŸ”¹ One of their partners, @AlphaFinanceLab, is launching on Avalanche https://t.co/DvEvulVcEN",neutral,crpyto
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz Token gating

ðŸ”¹ At launch, they have used 500 GRO tokens as a token gate
ðŸ”¹ Wanted to make sure that the most committed DAO members get priority access to the high yields in Labs
ðŸ”¹ Will be experimenting with different deposit caps for Labs https://t.co/Q8E9AvrAvL",neutral,crpyto
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz ðŸ”¹ When $AVAX price is out of that range, they close the position so as to avoid impermanent loss as AVAX price goes up or down
ðŸ”¹ When users close their position, they end up having more or less $AVAX than when they initiated the position",neutral,crpyto
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc ðŸ”¹ It also comes with protection if any of the underlying stablecoins/protocols fail
ðŸ”¹ For users who are looking for a higher yield, they have Vault for them",neutral,crpyto
@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc ðŸ”¹ They are gearing their protocol towards higher yielding strategies with a more aggressive risk profile for users who are risk-on while making sure those who prefer lower risk can still use PWRD,neutral,crpyto
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc What does Gro mean?

ðŸ”¹ Itâ€™s a Swedish word for grow
ðŸ”¹ Itâ€™s also the French word for fat https://t.co/XZI8AM9rvY",neutral,crpyto
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc Jona
ðŸ”¹ Came from a payments background
ðŸ”¹ Recently joined Gro",neutral,crpyto
"@groprotocol @CRE8RDAO Background

@graadient
ðŸ”¹ Previously, he led new market growth at @Spotify
ðŸ”¹ After that, he was VP Growth in @RevolutApp
ðŸ”¹ Started building Gro Protocol 1.5 years ago https://t.co/qFEpXjAbdl",neutral,crpyto
"My wife gets a new credit card for our joint account. She can't add it to the wallet on her phone without me adding it first; bonkers. Who actually worked out what the use cases were? 

""Help"", of course, is provided by a stunningly useless ""digital assistant"". @NatWest_Help",negative,service - digital
"â—ï¸ STARTING SOON: @HSBC_UK Financial Fitness Workshop 3, Borrowing Money &amp; Understanding Interest! Today at 1:30PM

Evaluating borrowing, saving and credit card options.

Sign up here: https://t.co/KKfWfIOH1a

#NSMW22 @NASMA_uk",positive,activism
@RevolutApp Worst experience for the first time itself. Unable to get correct account and response for open issues.,negative,service - digital
@RevolutApp I'm ok with that part. Just would like to know when the existing card I still use will be cancelled? Thanks.,negative,service - general
"@NatWest_Help trying to get through to your fraud line is tremendously slow.
15 minutes and counting",negative,fraud
"@monzo Hello! Iâ€™m a Premium customer with AXA travel insurance - is there a way to get a certificate for my insurance please, that confirms Iâ€™m covered? Canâ€™t seem to see howâ€¦thanks!",negative,service - digital
@RevolutApp I will send some money to some of the poor people you screwed over with your scammy tactics,negative,service - general
"Fay Jordan from @BarclaysUK on why they're taking virtual connection forward:

""The transition to online has been a big shift, most of the volunteering we did was face-to-face. But it's definitely brought benefits, enabling different populations in the business to take part.""",positive,activism
@HalifaxBank I think you have not understood my previous message. Your automated system automatically hands up on me. Are you telling me to keep trying to call a system that tells me they are not dealing with my query?      Please be serious!,negative,service - digital
"@NatWest_Help Bridgend Branch closed today ""due to unforeseen circumstances"".
It was clearly foreseeable, waiting to happen when local branches permanently closed in Cowbridge, Porthcawl and many other locations around Bridgend.
A wasted journey for me today.",negative,service - general
"@monzo They closed my account because I won a bet from William hill. They asked me to explain why I had such a high amount paid in, theyâ€™re ridiculous",negative,service - general
".
Co-op Bank mortgage lending up 185% to Â£2.4bn as Manchester lender returns to profit and looks for deals -Northern Financial Review

https://t.co/Be9XyfysE5

@CooperativeBank #Manchester #mortgage #banks @TSB @sabadellpress @BancoSabadell @VirginMoneyNews @TescoBankNews #stocks https://t.co/6XSVLAsEZi",positive,investors
@HalifaxBank Why is my local branch closed due to a member of staff being in contact with someone that has tested positive for covid.  They have a sign telling us to use the Crewe branch which is a 35 minute drive away. 1/3,negative,service - general
"Hi @RevolutApp can you add support right from the app to donate to Ukraine bank to help them?

Adding them to the fundraisers? 

https://t.co/92sv8fwCsY",neutral,inquiry
@santanderukhelp I need urgent help can someone DM me,neutral,inquiry
"Barclays' summer and off-cycle internships and our wide range of graduate schemes are great opportunities to experience the world of finance.

They have a wide range of opportunities for #STEM students and graduates on their Gradcracker Hub.

https://t.co/8IiGfeu3Zi

@BarclaysUK https://t.co/2vbrGrhkWG",positive,activism
"@HSBC_UK In order for me to reply, I need assurances this will be fully investigated and with full transparency. Those responsible are without doubt nothing but criminals. 3 years of fighting your bank, whilst looking after my terminally ill wife. All this when your bank contacted me.",negative,service - general
"@HalifaxBank customer (dis)service is really appalling. I called to ask for help restoring access, agent is not listening, keeps interrupting and telling me to use password reset on broken/non-working Halifax website. 
I have not seen such bad customer service in YEARS!",negative,service - digital
@LloydsBank Multiple retails &amp; no messages from Lloyds :),negative,service - general
@CraigFoster13 @monzo Same mate,neutral,general
@monzo Dodgy company to work for. Wolf in sheeps clothing.,negative,general
"@LloydsBank @Sammijayjax Hi Tony, we are also having this problem, and do not have another method of paying salaries. Is there an email address or any other way to contact the Telepay team?",negative,service - general
I'm taking out the money from @RevolutApp as they haven't even replied if the accounts can get frozen because of the war and Lithuania state of emergency.,negative,service - general
"@HalifaxBank Just spoken to a lovely bloke called Brandon, he managed to sort it after spending some time investigating it, rather than just transferring me to another team. The world needs more Brandonâ€™s. #bemorebrandon",positive,service - general
@santanderukhelp Never mind - weâ€™ll make the 48 mile round trip (one of the reasons the account is being closed) to a branch to sort it out. #santander #nolongerlocal,negative,service - general
@ChoniMead @BankofScotBiz @LloydsBank Thank you. I'm getting nowhere.,negative,service - general
"@LloydsBank Thanks Claire, is there another option? A one off email we can send the information to so someone at the other end can submit it?",negative,service - general
@HalifaxBank The staff at your Sidcup branch are not very helpful. End of tweet.,negative,service - general
@RevolutApp followed!,neutral,general
"@LloydsBank Can we change submission for tomorrow? We need to pay staff, at least if we can phone through tomorrow it will be a day late, this can have a big impact if it goes beyond a day. There should be a back up in place for these situations",negative,service - general
@JackHODLr @monzo The banking system is corrupt and always will be,negative,activism
"@CooperativeBank Thatâ€™s what the customer did, but has now received phone call from bank asking for some sort of security number, customer no idea what or where that is. Cheque books used to be sent out automatically, are they not now?",negative,service - general
@santanderukhelp again and again Iâ€™m left waiting on a helpline. The record is I hour 40   So far today itâ€™s 40mins. Whatâ€™s going on? #betterthingstodo,negative,service - general
"@santanderukhelp tried to pay somebody online and online banking has Locked me out and I've been on hold for 20 minutes now, I can't hold for much longer and really need access to my accounts",negative,service - digital
@santanderukhelp Does Santander only operate online? Only no one answers the phone!,negative,service - digital
@philskyross1962 @LloydsBank Typical of what happens these days ðŸ˜¡ Hope you get it sorted soon ðŸ¤ž,negative,service - general
@santanderukhelp Ordered 21 January. Ordered again  7 February.  This is for a savings account which cannot be printed from online banking.,negative,service - digital
@monzo paid off and closed my overdraft at long last today. https://t.co/2P4OQPANlr,negative,service - general
"@monzo It helps to snitch out those asking for child fare on the bus as well, seeing as you have to be over 16 to have one ðŸ˜‚",negative,service - general
@santanderukhelp Not good enough Iâ€™m afraid. You are losing out on a mortgage application!,negative,service - general
@SandraA49197391 @LloydsBank Hi Sandra - not looking good tbh - it's a complete shambles and Lloyds should be ashamed of themselves. In all our home purchases this has never happened before. Usually move out of one and into the next early afternoon the same day. Goodness knows what is going on. Got a tent ??,negative,service - general
Hey @RevolutApp Iâ€™m just filling out a Chargeback form and itâ€™s asking me for my 4 digit passcode. Is this legit? Thought it best to check :) https://t.co/lGK1WddTLB,neutral,inquiry
"@TSB I have sent you both, I'm still on hold on the phone. Need this sorted immediately, thanks",negative,service - general
"@philskyross1962 @LloydsBank How worrying for you, a stressful time without that happening â˜¹ï¸",neutral,service - general
"@RevolutApp I say NO to Putin's invasion on Ukraine 
Bye Revoult !",negative,activism
@Ukraine @RevolutApp could you please remove the transfer fee for this cause?,negative,crpyto
"@BarclaysUK @PaRelief I'm hoping you'll consider supporting the good work World Relief Organization does by donating or sharing with others who'd like to help.
Donate here: https://t.co/o0JBuZV1dC",neutral,activism
@santanderukhelp On phone for 40 mins very poor,negative,service - general
"@LloydsBank Thanks Claire, had a call back almost straight away. Many thanks.",positive,service - general
"@GeorginaUstik @Siftedeu @monzo Will do, though I will admit Iâ€™m not Gen Z  about 7 years off ðŸ™ˆ 

Just got excited (has to do with passion for financial inclusion)",positive,activism
"@LloydsBank Can we change submission for tomorrow? We need to pay staff, at least if we can phone through tomorrow it will be a day late, this can have a big impact if it goes beyond a day. There should be a back up in place for these situations",negative,service - general
"@FangzCrypto @monzo Bearish on them all 

No p2p customer service, weeks to get a business account, stay within your ""expected numbers"", no crypto activity, guaranteed only up to Â£85k and u don't own your keysðŸ¤¡

#Bitcoin fixes this",negative,crpyto
@JackHODLr @monzo The banking system is corrupt and always will be,negative,activism
"@RevolutApp Hi, I registered while in South Africa and was put on the waitlist, I have since moved to the Netherlands and cannot sign up using my Dutch number, please assist.",negative,inquiry
"@RevolutApp Next payday I will be gone by the time of reading this paper ðŸ˜…

Welp~~~",neutral,general
@RevolutApp Your decision,neutral,general
@santanderukhelp I emailed on February 6th,negative,service - general
@NatWest_Help how can I request a Non-Supply of Goods Chargeback please?,neutral,inquiry
@santanderukhelp What number do I call? Do you have a select customer line,neutral,inquiry
"@HSBC_UK Incredibly difficult to reach out to anyone, waiting hours on the phone. Very disappointed by the way you treat your customers. Shame on you.",negative,service - general
@SandraA49197391 @LloydsBank Might need it for tonight ðŸ˜…,neutral,general
@RevolutApp Ban your services in Russia. #SupportUkraine,negative,activism
