text,Target
@RevolutApp hi. I set up an account earlier today and am still waiting to be verified? Do you know how long it’s takes for verification? It keeps asking for photo ID when I sign in. I have sent it twice now. Thanks.,0
@RevolutApp Hi I lost access to my revolut account can someone please format that account because i just loaded it but didn never used it to do anything with money involved. Please I really want to use your app. My old number was +358469669018 or +358465608875 or non of those.,0
@Arwenstar @TheFreds @JamesDelingpole @LloydsBank @StarlingBank Great name! You did it more succinctly than me.,1
"@rodri_pater @RevolutApp @Shibtoken Join this group and thank me later 👇👇👇
https://t.co/FMK3jMTTgF",1
@davidbrear @Get_Chip for my savings and investments and @RevolutApp for my everyday banking,1
"@HSBC_UK Such a lies they dont care fraudsters took our money Ombudsman told HSBC to refund and they are just taking they time .
Almost 5 years ...my daughter and I are struggling since 2017 https://t.co/2bH65avIxI",0
@tonybrett If @LloydsBank give up now. Most other banks try callimg yhem even now.,0
"@trish34139020 @JamesDelingpole @LloydsBank I know people who have been closed down by Natwest, Barclays, Lloyds, Santander. And the challenger banks that I am aware of are not able to get remittances from exchanges",0
@HalifaxBank whats going on with payments due today? 24th feb,0
@nderssonD @JamesDelingpole @LloydsBank I heard it took someone 2 whole years to turn his crypto profit into cash.,0
@monzo this was a joy to receive as I begin my new venture! thanks for making it super easy to setup! https://t.co/sEqEi7uRUj,1
@LloydsBank I have dm'd you details and additional information regarding the matter,0
"@cryptomeddler @cryptocom @RevolutApp Once again, thank you! It worked perfectly!!",1
@BarclaysUK Will you approve me this time? 😂,0
"@HalifaxBank Hi Scott, it asks me to input my memorable information which I do, then a red banner comes at the top sayinb, sorry for the inconvenience we are having technical issues! Im going to delete the app and re-install it and see if that works",0
"Morning! In today's marketing news: 

- @LloydsBank unveils new strategy
- @IKEAUK opens London mall
- @PUMA chases 'brand heat' 
- @Reebok eyes luxe market
- Consumer optimism dips says @marksandspencer 

Read the full round-up here: https://t.co/rjET4e1FIB https://t.co/loMxFYdCdU",1
@RevolutApp I found a Revolut card last night. Do I destroy it or send it back your way? No instructions on the card itself. Thanks.,0
@santanderukhelp Thank you guys all sorted 🙏,1
"@monzo If anyone wants to get £5 free in their new Monzo account, please use this link to sign up: https://t.co/UmyUh8POG7",1
"Customer Service Consultant, @HSBC_UK in #Chippenham

Info/Apply: https://t.co/Kkn5oW9pbj

#WorkInWilts #CustomerServiceJobs https://t.co/XiP24VLZPN",1
@santanderukhelp Wonderful isn't it.,1
@NatWest_Help could you please provide me with an email address for HR - i am an ex employee and need an email address for a reference.,0
@santanderukhelp Yes I wish to apply for a new account how do I do this and can I transfer my money over to that account,0
"Scientists are clear. We MUST stop burning #FossilFuels &amp; emitting CO2 NOW to avoid #ClimateCatastrophe. @BarclaysUK MUST #ActNow &amp; stop investing £Billions in #FossilFuels.
#BetterWithoutBarclays 
@MichaelEMann @KHayhoe @thejuicemedia @IPCC_CH @ClimateHuman https://t.co/wg5kwV8kzS",0
"Lloyds Bank’s profits in the lift as lender’s mortgage book surges to £293bn --&gt; https://t.co/Be1aDeyElb 

#loyds @LloydsBank #Mortgage #Lending https://t.co/InYjkWfsMl",1
@RevolutApp pls make it easy to donate to Ukraine through your App 🙏🏽 thx,0
@HalifaxBank Messaging isn’t working on app,0
"@CamSci84 @HSBC_UK @Cambslive ...recovery planting, wood pasture creation and hedgerow creation. A variety of tree types and sizes have been selected including native broadleaves and juniper. We hope this helps. (2/2)",1
"@santanderukhelp @santanderuk I need help with a re-mortgage which I’ve been speaking to someone about for nearly 2 months now. It’s like banging our head against a brick wall, we are going around in circles. I need action done asap. Who can I speak too?",0
"@HSBC_UK 
Hi, I need to discuss with you regarding my overdraft dues pending.",0
"@HalifaxBank I managed to send a message then I left app, &amp;  now can’t get back into it.   And Apple Pay still borked",0
@RevolutApp Next pay day I will be in the future of the year and even though the other day really appreciate your business with us hope you don't mind sending it to me,0
@LloydsBank please can you give us a number to call to speak to someone about travel insurance? The number on your website doesn't work,0
@RevolutApp What happened to #Songbird ?,0
@RevolutApp Next payday I will' and let your predictive lot of money !,0
"@RevolutApp next payday I will be there in about old art and stuff like that I don't have to go to the bank and trust online banking login to the house and whatnot

wow, so deep",0
@LeonardBurger @Siftedeu @monzo Heeey can you drop us an email Georgina@sifted.eu and stephanie@sifted.eu ? thanks! (:,0
@santanderukhelp is this a Santander number +44 808 280 0801 ?,0
@RevolutApp Next payday i will buy more #btc just not on the REV app... no more IOUs ... we want the real thing ♡♡♡,0
@revolutApp @revolutapp_us As a customer I'm expecting a statement from a bank with Russian founders / investors regarding your position to the Russian government and their recent agressions. #StandWithUkraine,0
"@RevolutApp 
No Customer support for Users stuck in between new registration which is very frustrating.  
I reg my number with India by mistake and want to signup account with same no. for Hungary. Now I am unable to signup and while I login to app it will ask me to stay in queue",0
"@monzo Monzo is a shit company,they will block your account without giving you a good reason and take whatever money is inside.I am speaking from experience.I used monzo to revive payments from work and they blocked my account without giving me a reason and never return my money. DTT",0
@santanderukhelp Good to know for next time. Thanks.,1
@RevolutApp Next payday I will get paid by Revolut,0
@RevolutApp next pay day I will get back to the island of Hawaii,0
"@santanderukhelp They got passed through to another department who are investigating, they have not got a Costa account so they could not deal with it.",0
@santanderukhelp 40 plus minutes and still waiting to register a bereavement and change DD. Hmmm,0
@TheFreds @JamesDelingpole @LloydsBank @StarlingBank They kicked me out for crypto a few years back,0
@RevolutApp Next payday I will get the first payment in a few months so that will make it better thanks 😊🤣😆😆🤣🤣🤣🤣🤣,0
"@LloydsBank Hi Andy,
Thank you for coming back to me. I think we have resolved the issue so appointment currently not needed.

Thanks again",1
@NatWest_Help @EQUANS_UK Thank you,1
"@tomaszmiklas @HalifaxBank I bet they either truncated it or stripped out some special characters before they stored it.

I've been locked out of sites because of that before.",0
"@HalifaxBank hi, I seem to be having a lot of trouble with the contactless on my debit card not working. How would I go about getting a new one ordered please?",0
@NatWest_Help so after being told 2-3 working days to look into an indemnity you then said 5 working days and now won't say when. Any reason you're dragging this out so much???,0
@NatWest_Help is there an issue with your biometrics system? I’ve been locked out of my app for 5 times today,0
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance @iearnfinance @WalletConnect 🔹 Previously, rewards gained from liquidity mining will be vested over 12 months. If the user decides to leave vesting immediately after they start, 10% of the rewards could be taken upfront and the remaining 90% distributed to other token holders",1
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance @iearnfinance Integration with @zksync and @argentHQ

🔹 The Vault product is accessible through the Argent zkSync mobile app
🔹 The product mirrors the price performance of the Vault on Mainnet
🔹 On a regular basis, the assets on the zkSync rollup are reconciled with the balances on Mainnet https://t.co/xLuvlXXRdp",1
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ What security measures have they taken?

🔹 Have done audits in the past and are planning more in the future
🔹 Have worked with @peckshield, @Kurt_M_Barry, and @code4rena https://t.co/QSut3kSYJk",1
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz 🔹 There has to be a deposit cap because it will reach a point where there’s not enough $AVAX to be borrowed and the remaining stablecoins will generate a lesser yield
🔹 Another point is that as the utilization rate goes up, the interest rate for borrowing $AVAX goes up as well",1
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax 🔹 The assumption is that the dollar prices of these assets are ~$1. Hence, there’s no impermanent loss as they tend to return to the peg
🔹 Their Labs product on Avalanche pairs a volatile asset with a stablecoin. Hence, IL becomes a very important thing to consider",1
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax How does the Risk Balancer work?

🔹 The risk balancer allocates as people deposit and withdraws stablecoins from the protocol
🔹 The protocol allocates those stablecoins to strategies and the stablecoins that are currently underweight https://t.co/5U0WXndNbe",1
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc 🔹 However, what they have seen is that people are quite risk-on and are interested in as much yield as possible
🔹 They are pitching their low risk product to DAO treasuries which have a more conservative risk profile",1
Great to see the @scouts featured in the @HSBC_UK annual report referencing the #moneyskills badge -  @scouts help young people develop #skillsforlife https://t.co/VDIx0JeFbd,1
@RevolutApp Next payday I will buy a call center and a French IBAN to @RevolutApp. So I can marry you.,1
"@RevolutApp I should have a good day, i hella can’t live a year without pay",0
"@NatWest_Help Bridgend Branch closed today ""due to unforeseen circumstances"".
It was clearly foreseeable, waiting to happen when local branches permanently closed in Cowbridge, Porthcawl and many other locations around Bridgend.
A wasted journey for me today.",0
".
Co-op Bank mortgage lending up 185% to £2.4bn as Manchester lender returns to profit and looks for deals -Northern Financial Review

https://t.co/Be9XyfysE5

@CooperativeBank #Manchester #mortgage #banks @TSB @sabadellpress @BancoSabadell @VirginMoneyNews @TescoBankNews #stocks https://t.co/6XSVLAsEZi",1
"@hpsauce43 @LloydsBank Exactly, it feels as though they are doing me a favor holding my money against my will, after 20y? Anyone reading this take note? @Lloyds is not a trustworthy, dependable, or even honest institution. Regardless, of what their trumped-up adverts would have us believe?#ByYourSide",0
@Scoutsscarter @scouts @HSBC_UK Such an important topic and so glad we get to discuss this early in young peoples lives. Well done @scouts. Bring on the badges 😀 #MoneySkills #SkillsForLife,1
@LloydsBank hello! I can't connect to telepay to put our submission through. I can get to automated message then select option 2 and can't get any further. Same with option 1. Are you aware of an issue?,0
.@RevolutApp lets you use common math operators when transferring money so you can easily split the bill etc 😊 https://t.co/QSkQem25k9,0
"@LloydsBank Thanks andy, just the usual 03450706223",1
"@HalifaxBank Just spoken to a lovely bloke called Brandon, he managed to sort it after spending some time investigating it, rather than just transferring me to another team. The world needs more Brandon’s. #bemorebrandon",1
"@CooperativeBank hello, when you get a replacement card due to one expiring does your CCV 3 digits change or keep the same?",0
"@rudol9h @metpoliceuk @MPSNewham @NewhamRecorder @EveningStandard @CrimestoppersUK @HSBC @HSBC_UK Three dumb fucks in action. 1 committing a robbery, 2 videoing it rather than doing the moral and  humanitarian act of helping the victim. Britain is full of pathetic selfish bastards now. Those two on their phones are complicit in the robbery. #scum",0
"@HSBC_UK Waited an hour and a half and then told they need to transfer me, back into the queue. Another hour so far. Hopeless",0
@santanderukhelp Amazing they’ve answered now.  I’ve literally been waiting 2 hours today and several yesterday. …,0
Hey @santanderukhelp I lodged a business and personal cheque with the Post Office on 21/02 - when should this usually appear in my account?,0
@santanderukhelp Ok what would be the usual time on this?,0
@santanderukhelp Not whare u bank,0
@HalifaxBank The staff at your Sidcup branch are not very helpful. End of tweet.,0
@RevolutApp followed!,1
"@RevolutApp Hi, I registered while in South Africa and was put on the waitlist, I have since moved to the Netherlands and cannot sign up using my Dutch number, please assist.",0
@LloydsBank Please can you let me know when this is (I'm pretty certain cut off is 4pm so don't have long) I am in a remote part of scotland and have to go out to get a phone signal. We have just returned after being out all afternoon sat in a layby trying to connect!,0
@JackHODLr @monzo The banking system is corrupt and always will be,0
@santanderukhelp On phone for 40 mins very poor,0
"@LloydsBank Today is our submission day. If we change this we need to give a working day's notice meaning the earliest we can submit is monday, processing tuesday, into accounts wednesday. At least if someone can allow us to submit tomorrow money will be in the accounts tuesday",0
@santanderukhelp I just paid it,0
"@santanderukhelp for mortgage apps, does your application only want to know about credit accounts with a balance? Or even untouched old but still active accounts? BoS only want anything you've touched in the last month so old but active accounts don't factor in.",0
"@NatWest_Help been on hold for 50 mins with customer service, please help!! 😢",0
@santanderukhelp Perfect - thank you,1
"@philskyross1962 @LloydsBank How worrying for you, a stressful time without that happening ☹️",0
"@RevolutApp thank you , will do now :)",1
"@RevolutApp I used to get an sms alert when I used my card. I don’t get them any more, has this function been stopped or do I need to change a setting somewhere",0
"@NatWest_Help I’m unable to access / authorise my child trust fund, i’ve just been told to call the helpline but have gotten nowhere after an hour !",0
@santanderukhelp Does Santander only operate online? Only no one answers the phone!,0
@RevolutApp Thanks,1
"@santanderukhelp I've been trying to call as you suggest for the past hour and am being kept on hold for ages - first call 20 mins, on hold again now!",0
@santanderukhelp Clearly the entire staff at Santander UK are busy and can’t answer any calls to any request! I’m wondering if they are still in business! Absolute joke.,0
@santanderukhelp Not good enough I’m afraid. You are losing out on a mortgage application!,0
@monzo paid off and closed my overdraft at long last today. https://t.co/2P4OQPANlr,0
@santanderukhelp Not good enough I’m afraid. You are losing out on a mortgage application!,0
@monzo paid off and closed my overdraft at long last today. https://t.co/2P4OQPANlr,0
"@santanderukhelp I've been trying to call as you suggest for the past hour and am being kept on hold for ages - first call 20 mins, on hold again now!",0
@santanderukhelp Clearly the entire staff at Santander UK are busy and can’t answer any calls to any request! I’m wondering if they are still in business! Absolute joke.,0
@santanderukhelp Does Santander only operate online? Only no one answers the phone!,0
@RevolutApp Thanks,1
"@philskyross1962 @LloydsBank How worrying for you, a stressful time without that happening ☹️",0
"@RevolutApp thank you , will do now :)",1
"@RevolutApp I used to get an sms alert when I used my card. I don’t get them any more, has this function been stopped or do I need to change a setting somewhere",0
"@NatWest_Help I’m unable to access / authorise my child trust fund, i’ve just been told to call the helpline but have gotten nowhere after an hour !",0
@santanderukhelp I just paid it,0
"@santanderukhelp for mortgage apps, does your application only want to know about credit accounts with a balance? Or even untouched old but still active accounts? BoS only want anything you've touched in the last month so old but active accounts don't factor in.",0
"@NatWest_Help been on hold for 50 mins with customer service, please help!! 😢",0
@santanderukhelp Perfect - thank you,1
@santanderukhelp On phone for 40 mins very poor,0
"@LloydsBank Today is our submission day. If we change this we need to give a working day's notice meaning the earliest we can submit is monday, processing tuesday, into accounts wednesday. At least if someone can allow us to submit tomorrow money will be in the accounts tuesday",0
@LloydsBank Please can you let me know when this is (I'm pretty certain cut off is 4pm so don't have long) I am in a remote part of scotland and have to go out to get a phone signal. We have just returned after being out all afternoon sat in a layby trying to connect!,0
@JackHODLr @monzo The banking system is corrupt and always will be,0
@santanderukhelp Ok what would be the usual time on this?,0
@santanderukhelp Not whare u bank,0
@HalifaxBank The staff at your Sidcup branch are not very helpful. End of tweet.,0
@RevolutApp followed!,1
"@RevolutApp Hi, I registered while in South Africa and was put on the waitlist, I have since moved to the Netherlands and cannot sign up using my Dutch number, please assist.",0
@NatWest_Help how can I request a Non-Supply of Goods Chargeback please?,0
"Big up @monzo for being a fab bank, lost my card this morning and because their app is so fab I froze is straight away, which stopped two fraudulent payments from going through! Wish my new card would come quicker though 😩🙋🏼‍♀️",1
@santanderukhelp My husband has been diagnosed with cancer and I need confirmation of a previous mortgage for insurance.,0
@rogerpsan @LloydsBank Indeed - been on the phone to the bank for 1 hour 3 minutes now - bizarre !!!,0
@santanderukhelp been trying to get through on your helpline for three weeks! Probably going to close my account as a result! Please advise. You have send me multiple letters but no point if I cannot respond. Ta,0
"@santanderukhelp I've tried 3 or 4 times now - unacceptable waiting times, issue still not resolved.  Until what time can I call (and get help!)?",0
"Fantastic to meet with the brilliant @RevolutApp team earlier today, thank you for hosting me! https://t.co/Po6pRG5sPR",1
"@neily_boy72 @RBS_Help Hi, sorry to hear you are experiencing problems with our new app.

I can see that our team have replied to your DM, and they have also requested a plastic card to be sent out to you. 

Please respond to our DM if you continue to experience the same logging in problems, thanks.",0
"@PaxosGlobal @PaxDollarUSDP @RevolutApp 🔥🔥🚀CRAO TOKEN🚀🔥🔥

🛑cryptomining nodes
🛑rewards and income
Crao token is the best investment
⏰presale Date:28th february 2PM UTC

🌍TG:https://t.co/2QGOKelCIc
🌏twitter:@craotoken
#BSC #BSCGEM #BNB
#P2E #craotoken",0
@santanderukhelp Ive spoken to your fraud team on 01908 343925 who have asked me to check the authenticity on the 0800 customer number,0
@LloydsBank It got worse. The branch didnt call me so i went in to discuss. The chaps payment was originated at 10am today for the house purchase that everyone involved knew about. It's  5pm and money still in my account. What do I do about my removals today and getting keys etc ??,0
@NatWest_Help - my son has been on hold 3 hours trying to find out what has happened to his request to transfer ISA money to a standard account - made 3 weeks ago. Is there an alternative way of contacting you?,0
"@RevolutApp next payday I will be total paid for my holiday 
#NotBadAfterAll",0
@HSBC_UK of course we thought this was a genuine sale!! Wouldn’t have gone ahead with the transaction if we had any reservations! Why didn’t you stop the transaction if you were concerned?,0
@NatWest_Help Hi it’s fine all sorted.,1
@HSBC_UK who gets to keep the £3250?,0
@HalifaxBank The inconvenience is that I’m having to call. When I banked with @NatWest_Help they called me if I had possibly been a victim of fraud! Having to call you and be on hold for such a long time is unexceptable!,0
@RevolutApp I’m trying to setup my new card on Fitbit Pay but it says it’s not supported. My previous Revolut card was supported on Fitbit Pay. Why does the new card not work?,0
@HSBC_UK 1hr15 minutes and still counting to contact your #businessbanking help desk. Cannot believe you are charging customers for such #badcustomerservice @OmbsForSmallBus,0
"After releasing Covid #loan loss provisions, @LloydsBank has reported pre #tax profits of £6.9 billion for 2021, compared to £1.2 billion in 2020. 

Read more on @cityam at https://t.co/lMUnsqp8Xt 

Need advice on related matters? Contact our team today. 

#NorthLondon https://t.co/KLZZqNd4zg",1
"After releasing Covid #loan loss provisions, @LloydsBank has reported pre #tax profits of £6.9 billion for 2021, compared to £1.2 billion in 2020. 

Read more on @cityam at https://t.co/qhSoJDdmlE 

Need advice on related matters? Contact our team today. 

#WhiteCityLondon https://t.co/nMX186S1i6",1
@monzo is this legit? Card doesn’t expire until October https://t.co/VIHlTm8EOd,0
"After his rapid defenestration from Credit Suisse, another blow for António Horta-Osório today - @LloydsBank has frozen its ex-CEO's bonus &amp; unvested stock in connection to the HBOS Reading scandal @SVR13 https://t.co/biFTSBtozW",0
@AaronLinstead @monzo Thought it looked a bit dodgy! They’re getting too good these scammers the website looks well done,0
"@HSBC_UK You still don’t understand
The facts are in my tweet &amp; there are no personal details required
HSBC RAISE INTEREST RATES ON CREDIT CARDS BY 2% in under a week of BoE raising base rates yet FAIL TO RAISE ANY SAVINGS RATES AFTER TWO BASE RATE RISES
WHAT IS THERE YOU DONT UNDERSTAND",0
@RevolutApp how much does it cost to get your card shipped? Also do I get money if someone referred me to revolut? Thanks.,0
@LloydsBank hi there got a new card but the contactless isn't working how do about getting it to work? Thanks you,0
@Citibank becomes the first bank to fully eliminate overdraft charges. Will others follow? @Barclays @HSBC @NatWestGroup @LloydsBank,1
@RevolutApp Next payday I will get a new phone,0
@santanderukhelp Thinks for not help me,0
@santanderukhelp Cheers,1
"@santanderukhelp how long does a credit card application confirmation email take to arrive? I applied at 4pm.
Thanks",0
@idigmusictoo @Telvi_idk @monzo Fraud investigation on going please don't get involved.,0
"@HSBC_UK It's a personal account.  A 2nd replacement is now being sent so that's another week with no cash. If someone had bothered to take action after I chased it up a week ago,I would have that one by now.",0
@NatWest_Help thank you for your assistance. I think she'll try and find someone to talk to in person about it all as had no notification of old card being cancelled,0
@Telvi_idk @monzo Last month was charged with hookers and hotels and room service 😂😂😂😂,0
"@HalifaxBank Hi Gillian, yes it’s closed and it was refunded to the closed card. I’ve spoken with the dispute team and they said they looked into it but couldn’t find it. I’ve since been issued a full ARN report from the company and sent that to the team but not heard back since. Thanks.",0
@RevolutApp hello I've spoken to one of your colleagues on the in ap chat and it's rather important I haven't had a response in over 1hr please help,0
"@deafdragongirl @HalifaxBank One thought by the way - is this advisor from a local branch? If so, could write a polite letter to the manager of that branch (not email) and copy head office. I wouldn’t threaten, just lay out the facts and point out their duties under EA &amp; implications for house purchase 🤷",0
@monzo I’ve been with Monzo since October 2018;it’s my main bank where all my credits and payments come and go. I have NEVER that’s NEVER had an issue with them that hasn’t been resolved in a timely manner. What the hell else do I need! 👏👏,1
@HalifaxBank I have called 19 times in the last week - they cut me off after holding for around 20 mins at a time. I got through to someone on another line who could not sort it after the branch told me to call and they promised a call back - that was 48 hours ago,0
@t1mbo77 @idigmusictoo @monzo You never mentioned that before - are you making up a fake brother or something?,0
@mouthwaite @HSBC_UK Lloyds are pretty amiable,1
@AlexBartis @RevolutApp Monese,0
"@RevolutApp When will in-app crypto wallets be available? At the moment it's not the best solution, especially if you want to use crypto to pay or transfer it out.",0
"@alexelectralol @RevolutApp hi there, the same thing is happening to me. May I ask how long it took for the refund to reach your Revolut account ?",0
@HalifaxBank @WhichMoney Halifax must have the worst transparency record going based and their ability to have customers go around in circles trying to get answers to questions which should be part of your remit.,0
Our last @stjohnambulance support shift for @SECAmbulance today for 4 weeks as @AndrewClarkLBG starts his 4 week L3CERAD driving course on Monday. Very graciously @LloydsBank are supporting 2wks and AC using 2wks leave. Back soon…hope he passes!!!  #ProFide  #proUtilitateHominum https://t.co/XOPeZu68Ah,1
@shutcake @MahmudNawaz @LloydsBank @MidYorkshireNHS @WYpartnership @davidfmelia @CMcKenna_1 Congratulations! #BritishMuslimAwards,1
@jennyfmorgan @santanderukhelp @monzo and @StarlingBank are both excellent,1
"@santanderukhelp @thewanderer58 When I was about to onboard with my current 125k role I was absolutely destitute after prolonged treatment 

I needed a poxy £500 to tide over to first paycheque 

#santander refused - those scars run very deep",0
Doesn’t look like @monzo UI at all. And still no TLS. https://t.co/qWxFrGvR0R,0
"@NatWest_Help just joined NatWest and it’s such a long process….!  Have a card, don’t know the sort code or account number.  Can’t access anything online until the card reader arrives. I get there are extra security processes these days but this is too much…",0
"UK pals, I've seen many people being sent this smishing campaign today. Interesting enough, the scammers just registered this domain today. They're wasting no time at all.

@monzo  you might want to check this out. https://t.co/UEFA9UkKev",0
@shutcake @MahmudNawaz @LloydsBank @MidYorkshireNHS @WYpartnership @davidfmelia @CMcKenna_1 Well done @MahmudNawaz !!,1
@martasdomingues @RevolutApp I'm just doing what I personally can. I'm not gonna change the world with my actions,0
@StarlingBank can you guys make it so that I can pick my month/pay start date?,0
@RevolutApp hi there - what is your position on #UkraineRussiaConflict ? I am thinking about closing my account.,0
"@lloydsbank @PostOffice deposited 5 pound at mosley street post office manchester today and its been processed as a withdrawal from current account only just noticed on the reciept,now 5 pound down and have proof it was a deposit my auntie gave me the money and i gave to assitant",0
@shutcake @MahmudNawaz @LloydsBank @MidYorkshireNHS @WYpartnership @davidfmelia @CMcKenna_1 Congrats Mahmud! Very well deserved.,1
"@StarlingBank still don't understand why you've put so much effort into a budgeting page, but don't have a running balance/total on the transaction page - definitely the easiest way to keep track of spending!",0
"Your worshipfull @NatWest_Help forgive me for such a crazy nutjob request, I know as a customer I am not worthy of your attention, but I was just wondering if there is anyway I can telephone a human on your Power of Attorney team - I would like to help my Dad before he dies.",0
@surjicair @shutcake @LloydsBank @MidYorkshireNHS @WYpartnership @davidfmelia @CMcKenna_1 Thank you Surji 🙏,1
"@RevolutApp Thanks, it won’t let me log in. And now says my account is under review. For two weeks now? No access to chat.",0
"@louisgtache @RevolutApp @BabyDogeCoin @BabyDogeCoin 🐶💫

Shill BabyDoge Family ❤️🦾

🙏🏻 #BabyDogeCoin 
❤️ #BabyDogeFamily 
🦾 #BabyDogeArmy
📰 #CryptoNews 

🐶🚀

#BabyDoge #BabyDogeArmyBR #BSC #BTC 
#nft #nfts #babydogearcade #babydogewallet #babydogeexchange #babydogecards",0
@RevolutApp Where are the Songbird tokens being held currently? Not looking for a distribution update 🙏🏼,0
"@NatWest_Help 
Hi, having trouble with an online payment, have tried to check if payment has actually gone through via online banking but the site seems to down. Any ideas if this will be affecting payments?",0
@RevolutApp I know that but I’m saying will their be a way to just take it from the linked bank instead of having to put funds into my account to use it,0
@andihack @NatWest_Help This just happens to me how long did they take to pay u back!? Thanks,0
@luccso @Raffaella1412 @Bounce_BackLoan @NatWestBusiness @NatWest_Help Did u get your money,0
@Messyhaddock25 @NatWest_Help Did they give it in the end,0
@HalifaxBank How can I access my account?,0
@NatWest_Help @ChelCcfc @luccso @Raffaella1412 @Bounce_BackLoan @NatWestBusiness @financialombuds So I’m really scared,0
"@NatWest_Help Are you having issues with passwords this morning for your app? I’m putting ours in correctly, but it says it’s wrong, and I only have one attempt left? Now what do I do?",0
@horatiupopovici @RevolutApp Ok boomer,0
